lambda,seed,method,model,val_mse,val_directional_gain,deploy_mse,volatility,initial_risk,terminal_risk,mean_gain,mean_hazard,max_hazard,subspace,source
0.0,4,standard,standard,0.42038848996162415,0.21356603359353954,0.3967437148094177,0.062259327435847125,0.29537326097488403,0.15059009194374084,0.07047706849407405,0.16766466225241103,0.7042569870277824,all_features_k2,subspace_ablation
0.0,5,standard,standard,0.5110085010528564,0.23089686097769901,0.4098236560821533,0.05159957392145803,0.3448408842086792,0.15880370140075684,0.06871336433105171,0.17628226476196238,0.7731838906309302,all_features_k2,subspace_ablation
0.0,6,standard,standard,0.6695612668991089,0.2527304106745227,0.5947054624557495,0.10635126380949697,0.49238067865371704,0.2506366968154907,0.09089135467074812,0.20649662264369634,0.7599386958657647,all_features_k2,subspace_ablation
0.0,7,standard,standard,0.4026200473308563,0.21840600309700803,0.38039344549179077,0.04421155169237126,0.2742616534233093,0.1665870100259781,0.07861695608589798,0.20045095383724698,0.8470168811026607,all_features_k2,subspace_ablation
0.0,8,standard,standard,0.5816845893859863,0.21642836702281032,0.42704254388809204,0.05600211938302504,0.42732974886894226,0.13034212589263916,0.07436683275736869,0.17501667214841127,0.7978522852910875,all_features_k2,subspace_ablation
0.0,9,standard,standard,0.4091055989265442,0.24226050870171909,0.3779805898666382,0.0507212284984188,0.3001631498336792,0.13950321078300476,0.07460477172862738,0.18175412147450187,0.746667945151965,all_features_k2,subspace_ablation
0.003,0,dtr,dtr,0.6404747366905212,0.2256356009121599,0.45119479298591614,0.08549952116535693,0.47334814071655273,0.14304620027542114,0.08536843938054517,0.1894776182010823,0.8663935456246384,sensor_only_k1,subspace_ablation
0.003,1,dtr,dtr,0.5454666614532471,0.20765840925019363,0.4460963308811188,0.090410859961887,0.3669438064098358,0.1758815348148346,0.08740894405636937,0.21059121943438242,0.7651448767978594,sensor_only_k1,subspace_ablation
0.003,2,dtr,dtr,0.534472644329071,0.17947593886276772,0.48229461908340454,0.07623790960266427,0.4111863076686859,0.1670970767736435,0.08341970639303327,0.19240898914939392,0.7713263956627545,sensor_only_k1,subspace_ablation
0.003,3,dtr,dtr,0.5042332410812378,0.15646521634068983,0.4667193293571472,0.08093354323626425,0.36213818192481995,0.14811141788959503,0.07535241614095867,0.18748845608920253,0.729579473836409,sensor_only_k1,subspace_ablation
0.003,4,dtr,dtr,0.4396720230579376,0.16013121111639614,0.3833177387714386,0.05703882862965839,0.3038782775402069,0.15331433713436127,0.06859911512583494,0.1631212950018952,0.7060464608077592,sensor_only_k1,subspace_ablation
0.003,5,dtr,dtr,0.518611490726471,0.17147629672083362,0.41470852494239807,0.053792167411792734,0.35840627551078796,0.15229351818561554,0.06738279245328158,0.16729196643474997,0.7559987517525236,sensor_only_k1,subspace_ablation
0.003,6,dtr,dtr,0.6388459205627441,0.19593499446737356,0.5548263192176819,0.08953842081248575,0.4514451026916504,0.22737202048301697,0.08851532305125147,0.20215048459195942,0.7279171437510776,sensor_only_k1,subspace_ablation
0.003,7,dtr,dtr,0.4054863750934601,0.17661402143281082,0.3745090663433075,0.04399146639729189,0.28234028816223145,0.16345937550067902,0.0758186453487724,0.19096268282315013,0.8237259314642561,sensor_only_k1,subspace_ablation
